"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL2164249"	""	"None"	"161.16"	"0"	"-0.13"	"29"	"CN(C)OC(=O)CCC(=O)O"	"IC50"	"'='"	"6300.0"	"nM"	"5.20"	""	""	"UO_0000065"	"32.27"	"0.65"	"5.33"	"7.78"	"0"	"CHEMBL2167516"	"Inhibition of human PHD2 expressed in Escherichia coli by fluorescence based assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2163321"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"None"	""	""	""	"6.3"
"CHEMBL222824"	"SUCCINYLACETONE"	"None"	"158.15"	"0"	"0.40"	"28"	"CC(=O)CC(=O)CCC(=O)O"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2167516"	"Inhibition of human PHD2 expressed in Escherichia coli by fluorescence based assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2163321"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"None"	""	""	""	"100.0"
"CHEMBL5901874"	""	"None"	"447.47"	"0"	"4.66"	"BDBM373543"	"Cc1cccc(C)c1Oc1cc2c(N3CCCC3)nc(-n3cc(C(=O)O)cn3)nc2cc1F"	"IC50"	"'='"	"39.8"	"nM"	"7.40"	""	"1022398"	"UO_0000065"	"16.54"	"0.31"	"2.74"	"7.93"	"1"	"CHEMBL5736663"	"Enzyme Activity Assay: The PHD enzymatic assay was performed in 0.5 ml of reaction mixture containing the following: purified PHD2181-417 polypeptide (3 μg), synthetic HIF-1α peptide comprising residues [KNPFSTGDTDLDLEMLAPYIPMDDDFQLRSFDQLS](10 μM, California Peptide Research Inc., Napa, Calif.), and [5-14C]-2-oxoglutaric acid (50 mCi/mmol, Moravek Chemicals, Brea, Calif.) in reaction buffer (40 mM Tris-HCl, pH 7.5, 0.4 mg/ml catalase, 0.5 mM DTT, 1 mM ascorbate) for 10 minutes. Compounds were pre-incubated for 30 min before starting the reaction (all test compounds were dissolved at 10 mM in 100% DMSO (w/v) and were tested with final compound concentrations at 100 μM in 1% DMSO (w/v)). The reaction was stopped by addition of 50 μl of 70 mM H3PO4 and 50 μl of 500 mM NaH2PO4, pH 3.2. Detection of [14C]-succinic acid was achieved by separating from [5-14C]-2-oxoglutaric acid by incubating the reaction mixture with 100 μl of 0.16 M DNP prepared in 30% perchloric acid. Next, 50 μl of unlabeled 20 mM 2-oxoglutaric acid/20 mM succinic acid, serving as carrier for the radioactivity, was added to the mixture, and was allowed to proceed for 30 minutes at room temperature. The reaction was then incubated with 50 μl of 1 M 2-oxoglutaric acid for 30 additional minutes at room temperature to precipitate the excess DNP. The reaction was then centrifuged at 2800×g for 10 minutes at room temperature to separate [14C]-succinic acid in the supernatant from the precipitated [14C]-dinitrophenylhydrazone. Fractions of the supernatant (400 μl) were counted using a beta counter (Beckman Coulter, Fullerton, Calif.). Inhibition of PHD2181-417 activity was measured as a decrease in [14C]-succinic acid production."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5728393"	"37"	"BindingDB Patent Bioactivity Data"	""	"2021"	"None"	""	""	""	"39.8"
"CHEMBL1215451"	""	"None"	"296.80"	"0"	"1.19"	"6"	"CN(C)CCCCCCC(=O)N(O)CCC(=O)O.Cl"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL1219077"	"Inhibition of human recombinant PHD2 expressed in Sf9 cells by time-resolved fluorescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212921"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308860"	""	""	""	""
"CHEMBL218493"	""	"None"	"289.29"	"0"	"3.06"	"13"	"N#Cc1cccc(NC(=O)c2ccc3cccnc3c2O)c1"	"IC50"	"'='"	"6100.0"	"nM"	"5.21"	""	""	"UO_0000065"	"18.03"	"0.32"	"2.15"	"6.06"	"0"	"CHEMBL907266"	"Inhibition of human EGLN1"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139686"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	"6.1"
"CHEMBL221026"	""	"None"	"308.34"	"0"	"2.88"	"5"	"COc1ccc(CNC(=O)c2ccc3cccnc3c2O)cc1"	"IC50"	"'='"	"4600.0"	"nM"	"5.34"	""	""	"UO_0000065"	"17.31"	"0.32"	"2.46"	"7.47"	"0"	"CHEMBL907266"	"Inhibition of human EGLN1"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139686"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	"4.6"
"CHEMBL5888555"	""	"None"	"364.74"	"0"	"1.04"	"BDBM350271"	"O=C(O)CNC(=O)c1c(O)c2c(n(-c3ccc(Cl)cc3)c1=O)COC2"	"IC50"	"'='"	"7.8"	"nM"	"8.11"	""	"692707"	"UO_0000065"	"22.23"	"0.44"	"7.07"	"6.88"	"0"	"CHEMBL5732868"	"Biological Assays: To each well of a 384-well plate, 1 μL of test compounds in DMSO (final concentration ranging from 0.3 nM to 10 uM) were added into 20 μl of assay buffer (50 mM Tris pH 7.4/0.01% Tween-20/0.1 mg/ml bovine serum albumin/10 μM ferrous sulfate/1 mM sodium ascorbate/20 μg/ml catalase) containing 0.15 μg/ml FLAG-tagged full length PHD2 expressed in and purified from baculovirus-infected Sf9 cells. After a 5 min preincubation at room temperature, the enzymatic reactions were initiated by the addition of 4 μL of substrates {final concentrations of 0.2 μM 2-oxoglutarate and 0.5 μM HIF-1α peptide biotinyl-DLDLEMLAPYIPMDDDFQL (SEQ ID NO:1)}. After incubation for 45 minutes at room temperature, the reactions were terminated by the addition of a 25 μL quench/detection mix to a final concentration of 1 mM ortho-phenanthroline, 0.1 mM EDTA, 0.5 nM anti-(His)6 LANCE reagent (Perkin-Elmer Life Sciences), 100 nM AF647-labeled streptavidin (Invitrogen), and 2 μg/ml (His)6-VHL complex {S. Tan Protein Expr. Purif. 21, 224-234 (2001)} and the signals were developed for 30 minutes at room temperature. The ratio of time resolved fluorescence signals at 665 and 620 nm was determined, and percent inhibition was calculated relative to the high control samples (DMSO treated) run in parallel, after background subtraction."	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5726531"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"7.8"
"CHEMBL5753325"	""	"None"	"330.30"	"0"	"0.39"	"BDBM350273"	"O=C(O)CNC(=O)c1c(O)c2c(n(-c3ccccc3)c1=O)COC2"	"IC50"	"'='"	"8.5"	"nM"	"8.07"	""	"692709"	"UO_0000065"	"24.43"	"0.46"	"7.68"	"6.85"	"0"	"CHEMBL5732868"	"Biological Assays: To each well of a 384-well plate, 1 μL of test compounds in DMSO (final concentration ranging from 0.3 nM to 10 uM) were added into 20 μl of assay buffer (50 mM Tris pH 7.4/0.01% Tween-20/0.1 mg/ml bovine serum albumin/10 μM ferrous sulfate/1 mM sodium ascorbate/20 μg/ml catalase) containing 0.15 μg/ml FLAG-tagged full length PHD2 expressed in and purified from baculovirus-infected Sf9 cells. After a 5 min preincubation at room temperature, the enzymatic reactions were initiated by the addition of 4 μL of substrates {final concentrations of 0.2 μM 2-oxoglutarate and 0.5 μM HIF-1α peptide biotinyl-DLDLEMLAPYIPMDDDFQL (SEQ ID NO:1)}. After incubation for 45 minutes at room temperature, the reactions were terminated by the addition of a 25 μL quench/detection mix to a final concentration of 1 mM ortho-phenanthroline, 0.1 mM EDTA, 0.5 nM anti-(His)6 LANCE reagent (Perkin-Elmer Life Sciences), 100 nM AF647-labeled streptavidin (Invitrogen), and 2 μg/ml (His)6-VHL complex {S. Tan Protein Expr. Purif. 21, 224-234 (2001)} and the signals were developed for 30 minutes at room temperature. The ratio of time resolved fluorescence signals at 665 and 620 nm was determined, and percent inhibition was calculated relative to the high control samples (DMSO treated) run in parallel, after background subtraction."	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5726531"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"8.5"
"CHEMBL6023325"	""	"None"	"401.43"	"0"	"3.91"	"BDBM373631"	"O=C(O)c1cnn(-c2nc(N3CCCC3)c3ccc(Oc4ccccc4)cc3n2)c1"	"IC50"	"'='"	"50.1"	"nM"	"7.30"	""	"742413"	"UO_0000065"	"18.19"	"0.33"	"3.39"	"7.82"	"0"	"CHEMBL5733350"	"PHD enzymatic assay: The PHD enzymatic assay was performed in 0.5 ml of reaction mixture containing the following: purified PHD2181-417 polypeptide (3 μg), synthetic HIF-1α peptide comprising residues [KNPFSTGDTDLDLEMLAPYIPMDDDFQLRSFDQLS] (10 μM, California Peptide Research Inc., Napa, Calif.), and [5-14C]-2-oxoglutaric acid (50 mCi/mmol, Moravek Chemicals, Brea, Calif.) in reaction buffer (40 mM Tris-HCl, pH 7.5, 0.4 mg/ml catalase, 0.5 mM DTT, 1 mM ascorbate) for 10 minutes. Compounds were pre-incubated for 30 min before starting the reaction (all test compounds were dissolved at 10 mM in 100% DMSO (w/v) and were tested with final compound concentrations at 100 μM in 1% DMSO (w/v)). The reaction was stopped by addition of 50 μl of 70 mM H3PO4 and 50 μl of 500 mM NaH2PO4, pH 3.2. Detection of [14C]-succinic acid was achieved by separating from [5-14C]-2-oxoglutaric acid by incubating the reaction mixture with 100 μl of 0.16 M DNP prepared in 30% perchloric acid. Next, 50 μl of unlabeled 20 mM 2-oxoglutaric acid/20 mM succinic acid, serving as carrier for the radioactivity, was added to the mixture, and was allowed to proceed for 30 minutes at room temperature. The reaction was then incubated with 50 μl of 1 M 2-oxoglutaric acid for 30 additional minutes at room temperature to precipitate the excess DNP. The reaction was then centrifuged at 2800×g for 10 minutes at room temperature to separate [14C]-succinic acid in the supernatant from the precipitated [14C]-dinitrophenylhydrazone. Fractions of the supernatant (400 μI) were counted using a beta counter (Beckman Coulter, Fullerton, Calif.). Inhibition of PHD2181-417 activity was measured as a decrease in succinic acid production. The IC50 values were estimated by fitting the data to a three-parameter logistic function using GraphPad Prism, version 4.02 (Graph Pad Software, San Diego, Calif.)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5726796"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"50.1"
"CHEMBL5871845"	""	"None"	"399.43"	"0"	"3.43"	"BDBM373660"	"CN(C)c1nc(-n2cc(C(=O)O)cn2)nc2cc(F)c(OC3CCCCC3)cc12"	"IC50"	"'='"	"79.4"	"nM"	"7.10"	""	"742436"	"UO_0000065"	"17.78"	"0.33"	"3.67"	"7.60"	"0"	"CHEMBL5733350"	"PHD enzymatic assay: The PHD enzymatic assay was performed in 0.5 ml of reaction mixture containing the following: purified PHD2181-417 polypeptide (3 μg), synthetic HIF-1α peptide comprising residues [KNPFSTGDTDLDLEMLAPYIPMDDDFQLRSFDQLS] (10 μM, California Peptide Research Inc., Napa, Calif.), and [5-14C]-2-oxoglutaric acid (50 mCi/mmol, Moravek Chemicals, Brea, Calif.) in reaction buffer (40 mM Tris-HCl, pH 7.5, 0.4 mg/ml catalase, 0.5 mM DTT, 1 mM ascorbate) for 10 minutes. Compounds were pre-incubated for 30 min before starting the reaction (all test compounds were dissolved at 10 mM in 100% DMSO (w/v) and were tested with final compound concentrations at 100 μM in 1% DMSO (w/v)). The reaction was stopped by addition of 50 μl of 70 mM H3PO4 and 50 μl of 500 mM NaH2PO4, pH 3.2. Detection of [14C]-succinic acid was achieved by separating from [5-14C]-2-oxoglutaric acid by incubating the reaction mixture with 100 μl of 0.16 M DNP prepared in 30% perchloric acid. Next, 50 μl of unlabeled 20 mM 2-oxoglutaric acid/20 mM succinic acid, serving as carrier for the radioactivity, was added to the mixture, and was allowed to proceed for 30 minutes at room temperature. The reaction was then incubated with 50 μl of 1 M 2-oxoglutaric acid for 30 additional minutes at room temperature to precipitate the excess DNP. The reaction was then centrifuged at 2800×g for 10 minutes at room temperature to separate [14C]-succinic acid in the supernatant from the precipitated [14C]-dinitrophenylhydrazone. Fractions of the supernatant (400 μI) were counted using a beta counter (Beckman Coulter, Fullerton, Calif.). Inhibition of PHD2181-417 activity was measured as a decrease in succinic acid production. The IC50 values were estimated by fitting the data to a three-parameter logistic function using GraphPad Prism, version 4.02 (Graph Pad Software, San Diego, Calif.)."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5697"	"Egl nine homolog 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL5726796"	"37"	"BindingDB Patent Bioactivity Data"	""	"2019"	"None"	""	""	""	"79.4"
